Door, 5, 3, 2
Wall, 5, 5, 1
Wall, 4, 3, 1
Door, 3, 5, 2
Wall, 3, 3, 2
Lookout, 2, 2, 3
Lookout, 3, 1, 2
Door, 85, 23, 32
Wall, 5, 53, 41
Wall, 44, 33, 41
Door, 35, 5, 2
Wall, 3, 36, 2
Lookout, 24, 24, 3
Lookout, 33, 13, 2
Door, 45, 31, 39
Wall, 5, 5, 21
Wall, 44, 33, 43
Door, 35, 5, 90
Wall, 3, 36, 2
Lookout, 24, 56, 3
Lookout, 22, 87, 12
Door, 85, 54, 32
Wall, 5, 20, 41
Wall, 25, 33, 41
Door, 28, 5, 99
Wall, 56, 36, 2
Lookout, 24, 24, 3
Lookout, 36, 13, 77
Door, 55, 3, 62
Wall, 45, 53, 61
Wall, 34, 3, 14
Door, 3, 52, 42
Wall, 3, 35, 62
Lookout, 2, 29, 73
Lookout, 37, 19, 82
